t,x_m,theta,v_m_s,thetadot,u_pwm
1764425656.3104577,0.0965625,0.08,-0.1378515625,-0.575,-21
1764425656.3218813,0.0953515625,0.07,-0.12234375,-0.527,-17
1764425656.331459,0.094296875,0.07,-0.10871093750000001,-0.515,-15
1764425656.3414564,0.09328125,0.06,-0.10140625,-0.359,-17
1764425656.3508832,0.092578125,0.06,-0.07808593750000001,-0.32,-15
1764425656.3618882,0.0919921875,0.06,-0.064453125,-0.31,-12
1764425656.3714561,0.091328125,0.05,-0.064921875,-0.308,-10
1764425656.3808837,0.0907421875,0.05,-0.05921875,-0.307,-9
1764425656.3914557,0.090234375,0.05,-0.051914062500000004,-0.307,-7
1764425656.4008949,0.089921875,0.05,-0.034453125,-0.153,-11
1764425656.4124725,0.08984375,0.04,-0.0125390625,-0.192,-1
1764425656.4219127,0.08980468750000001,0.04,-0.01015625,-0.096,-5
1764425656.4318864,0.08980468750000001,0.04,-0.0012890625,-0.012,-7
1764425656.4414616,0.08980468750000001,0.04,-0.0003125,-0.08,-4
1764425656.4508932,0.08980468750000001,0.04,-7.8125e-05,-0.02,-7
1764425656.4614727,0.08980468750000001,0.04,-3.90625e-05,-0.158,0
1764425656.471474,0.08980468750000001,0.04,0.0,-0.04,9
1764425656.4814737,0.08984375,0.04,0.001953125,-0.01,24
1764425656.490894,0.0899609375,0.04,0.00828125,-0.002,25
1764425656.5018942,0.09046875,0.04,0.0430859375,0.153,25
1764425656.5114746,0.0913671875,0.05,0.079140625,0.268,24
1764425656.5224936,0.0925,0.05,0.10570312500000001,0.22,32
1764425656.5324829,0.0937890625,0.05,0.1241015625,0.285,33
1764425656.5419037,0.0953515625,0.06,0.15015625,0.378,32
1764425656.5514846,0.0971875,0.06,0.1762109375,0.555,29
1764425656.5614822,0.099140625,0.07,0.18859375,0.522,31
1764425656.5714855,0.1010546875,0.07,0.1897265625,0.591,28
1764425656.5814724,0.10285156250000001,0.08,0.1821875,0.531,27
1764425656.5924742,0.1046875,0.08,0.18226562500000001,0.44,31
1764425656.601896,0.105546875,0.08,0.1770703125,0.527,26
1764425656.6114748,0.1080859375,0.09,0.1705859375,0.411,28
1764425656.620894,0.10960937500000001,0.1,0.1559375,0.486,19
1764425656.630475,0.1110546875,0.1,0.14640625000000002,0.505,16
1764425656.6408942,0.1121875,0.1,0.1186328125,0.356,17
1764425656.6504734,0.11296875,0.1,0.0862890625,0.242,16
1764425656.6618955,0.1137109375,0.11,0.07625,0.137,16
1764425656.671476,0.1143359375,0.11,0.063984375,0.111,15
1764425656.6818974,0.1148046875,0.11,0.051171875,0.104,13
1764425656.6914737,0.115234375,0.11,0.0440234375,0.026,15
1764425656.7008967,0.1156640625,0.11,0.042265625,0.083,12
1764425656.7108967,0.1161328125,0.11,0.047656250000000004,0.021,16
1764425656.7204964,0.1165625,0.11,0.0451171875,0.159,9
1764425656.731473,0.1169921875,0.11,0.0425390625,0.04,14
1764425656.7414756,0.117265625,0.11,0.03015625,0.01,13
1764425656.7524738,0.11742187500000001,0.11,0.0192578125,-0.151,18
1764425656.7624743,0.1174609375,0.11,0.0135546875,-0.075,14
1764425656.7718968,0.1176953125,0.11,0.0173046875,-0.009,11
1764425656.7814746,0.1179296875,0.11,0.0219140625,-0.079,16
1764425656.7914975,0.1180859375,0.11,0.0171875,-0.02,12
1764425656.8014865,0.11828125,0.11,0.019921875000000002,-0.005,12
1764425656.811487,0.11847656250000001,0.11,0.018671875,-0.078,15
1764425656.8214734,0.1186328125,0.11,0.0163671875,-0.019,12
1764425656.83091,0.1189453125,0.11,0.0294921875,-0.005,14
1764425656.8418949,0.119296875,0.11,0.0347265625,-0.001,15
1764425656.8514736,0.11972656250000001,0.11,0.041875,-0.0,17
1764425656.862475,0.1201953125,0.11,0.045625,0.077,14
1764425656.872473,0.12046875,0.11,0.05015625,0.038,17
1764425656.8818955,0.1209375,0.11,0.0476953125,0.01,18
1764425656.8914852,0.121484375,0.11,0.0391796875,0.001,16
1764425656.9014778,0.12195312500000001,0.11,0.0469140625,0.154,11
1764425656.9119024,0.1225,0.11,0.052734375,0.038,18
1764425656.9214773,0.12300781250000001,0.11,0.0503125,0.086,15
1764425656.9314785,0.12328125000000001,0.11,0.0525,0.043,18
1764425656.9414783,0.12425781250000001,0.11,0.0602734375,0.082,18
1764425656.9524775,0.12484375,0.12,0.058046875,0.174,10
1764425656.9624765,0.12546875,0.12,0.0613671875,0.197,10
1764425656.9724789,0.12578125,0.12,0.061953125000000005,0.098,14
1764425656.9818988,0.1264453125,0.12,0.0438671875,0.089,11
1764425656.991478,0.1268359375,0.12,0.0402734375,0.176,7
1764425657.0014782,0.1271484375,0.12,0.0315625,0.044,11
1764425657.0108974,0.1271875,0.12,0.00984375,0.011,8
1764425657.0214756,0.1272265625,0.12,0.0063671875000000005,0.003,8
1764425657.030898,0.1272265625,0.12,0.0016015625000000001,0.001,7
1764425657.0404778,0.1272265625,0.12,0.000390625,0.0,7
1764425657.0508971,0.1272265625,0.12,0.0001171875,0.0,7
1764425657.0604758,0.1272265625,0.12,3.90625e-05,0.0,7
1764425657.0708973,0.1272265625,0.12,0.0,0.0,-9
1764425657.081479,0.1272265625,0.12,0.0,-0.153,-2
1764425657.0918982,0.1270703125,0.12,-0.01171875,-0.038,-24
1764425657.10148,0.12703125,0.12,-0.0048828125,-0.01,-24
1764425657.1114795,0.126640625,0.12,-0.0344140625,-0.079,-27
1764425657.1208966,0.1258203125,0.11,-0.07109375,-0.25,-24
1764425657.1304822,0.1253125,0.11,-0.086328125,-0.278,-26
1764425657.1408987,0.1241015625,0.11,-0.1133984375,-0.453,-24
1764425657.1509018,0.1222265625,0.1,-0.122578125,-0.325,-29
1764425657.1614778,0.121015625,0.1,-0.122421875,-0.388,-26
1764425657.170898,0.12035156250000001,0.1,-0.1276171875,-0.501,-22
1764425657.1814804,0.1182421875,0.09,-0.1360546875,-0.523,-21
1764425657.1914783,0.116953125,0.08,-0.1297265625,-0.514,-17
1764425657.2008986,0.11640625,0.08,-0.11953125,-0.41,-20
1764425657.210481,0.11515625,0.08,-0.08234375000000001,-0.32,-16
1764425657.2204795,0.11457031250000001,0.07,-0.0635546875,-0.31,-10
1764425657.2384803,0.114296875,0.07,-0.0591015625,-0.308,-9
1764425657.2514777,0.1136328125,0.07,-0.0405859375,-0.269,-7
1764425657.2694788,0.1134765625,0.07,-0.011914062500000001,-0.187,-5
1764425657.279479,0.1134375,0.07,-0.004921875,-0.047,-10
1764425657.2894793,0.1134375,0.07,-0.0003125,-0.041,-9
1764425657.300902,0.1133984375,0.07,-0.001015625,-0.005,-11
1764425657.310479,0.1133984375,0.07,-0.000234375,-0.001,-11
1764425657.3204813,0.1133984375,0.07,-7.8125e-05,-0.0,-11
1764425657.329901,0.1133984375,0.07,0.0,-0.0,4
1764425657.341479,0.1133984375,0.06,0.0,-0.153,15
1764425657.3514802,0.1134375,0.07,0.00390625,0.077,16
1764425657.3614788,0.1135546875,0.07,0.0107421875,0.019,21
1764425657.370901,0.1141015625,0.07,0.03453125,0.156,19
1764425657.3804784,0.1146875,0.07,0.0535546875,0.192,22
1764425657.3908985,0.1153515625,0.07,0.0641796875,0.201,24
1764425657.4009018,0.1162890625,0.07,0.0863671875,0.127,32
1764425657.4119005,0.1174609375,0.08,0.1094921875,0.262,28
1764425657.4214785,0.1187890625,0.08,0.1289453125,0.449,23
1764425657.432466,0.1203125,0.08,0.1474609375,0.342,33
1764425657.4424627,0.12105468750000001,0.08,0.14796875,0.325,34
1764425657.4524653,0.1232421875,0.09,0.14933593750000002,0.309,32
1764425657.4628868,0.125078125,0.09,0.176015625,0.384,35
1764425657.4728856,0.1260546875,0.1,0.1856640625,0.499,28
1764425657.482887,0.128984375,0.1,0.1901953125,0.407,35
1764425657.4928875,0.1308203125,0.11,0.1823046875,0.562,22
1764425657.502884,0.1316796875,0.11,0.177109375,0.434,28
1764425657.5128841,0.13343750000000001,0.12,0.1751171875,0.492,21
1764425657.522884,0.135625,0.12,0.1458984375,0.33,24
1764425657.5324655,0.13636718750000001,0.12,0.1471875,0.472,17
1764425657.5418847,0.13765625,0.13,0.130546875,0.348,17
1764425657.5518866,0.138671875,0.13,0.1068359375,0.164,21
1764425657.561465,0.1398046875,0.13,0.0768359375,0.289,9
1764425657.5714638,0.14054687500000002,0.13,0.075859375,0.226,12
1764425657.5814843,0.14078125,0.13,0.0613671875,0.113,14
1764425657.591469,0.14109375,0.13,0.02328125,0.014,11
1764425657.6008997,0.14125000000000001,0.13,0.0175390625,0.004,10
