x,theta,v,thetadot
<-21,3.14,0,0.230>
<-21,3.13,0,0.211>
<-21,3.13,0,0.436>
<-21,3.12,0,0.493>
<-21,3.12,0,0.507>
<-21,3.11,0,0.587>
<-21,3.11,0,0.607>
<-21,3.10,0,0.612>
<-21,3.09,0,0.690>
<-21,3.09,0,0.633>
<-21,3.08,0,0.777>
<-21,3.07,0,0.787>
<-21,3.07,0,0.700>
<-21,3.06,0,0.701>
<-21,3.06,0,0.657>
<-21,3.05,0,0.701>
<-21,3.04,0,0.701>
<-21,3.03,0,0.712>
<-21,3.03,0,0.663>
<-21,3.02,0,0.658>
<-21,3.01,0,0.701>
<-21,3.00,0,0.636>
<-21,2.99,0,0.696>
<-21,2.99,0,0.634>
<-21,2.98,0,0.695>
<-21,2.97,0,0.787>
<-21,2.97,0,0.701>
<-21,2.96,0,0.635>
<-21,2.95,0,0.655>
<-21,2.95,0,0.777>
<-21,2.94,0,0.655>
<-21,2.93,0,0.624>
<-21,2.93,0,0.616>
<-21,2.92,0,0.615>
<-21,2.91,0,0.652>
<-21,2.91,0,0.623>
<-21,2.90,0,0.616>
<-21,2.90,0,0.615>
<-21,2.89,0,0.690>
<-21,2.88,0,0.652>
<-21,2.87,0,0.810>
<-21,2.86,0,0.816>
<-21,2.85,0,0.894>
<-21,2.85,0,0.914>
<-21,2.84,0,0.919>
<-21,2.83,0,0.843>
<-21,2.81,0,1.131>
<-21,2.81,0,0.973>
<-21,2.79,0,1.010>
<-21,2.79,0,0.965>
<-21,2.77,0,1.118>
<-21,2.77,0,1.019>
<-21,2.75,0,0.971>
<-21,2.74,0,1.010>
<-21,2.73,0,1.096>
<-21,2.72,0,1.118>
<-21,2.71,0,1.123>
<-21,2.70,0,1.048>
<-21,2.69,0,1.137>
<-21,2.68,0,1.205>
<-21,2.66,0,1.071>
<-21,2.65,0,1.265>
<-21,2.64,0,1.313>
<-21,2.63,0,1.270>
<-21,2.61,0,1.271>
<-21,2.60,0,1.392>
<-21,2.59,0,1.156>
<-21,2.57,0,1.218>
<-21,2.56,0,0.995>
<-21,2.55,0,1.016>
<-21,2.55,0,0.868>
<-21,2.54,0,0.754>
<-21,2.53,0,0.649>
<-21,2.53,0,0.622>
<-21,2.52,0,0.539>
<-21,2.52,0,0.365>
<-21,2.51,0,0.398>
<-21,2.51,0,0.330>
<-21,2.51,0,0.312>
<-21,2.50,0,0.308>
<-21,2.50,0,0.384>
<-21,2.50,0,0.326>
<-21,2.49,0,0.388>
<-21,2.49,0,0.481>
<-21,2.48,0,0.504>
<-21,2.48,0,0.356>
<-21,2.48,0,0.472>
<-21,2.47,0,0.390>
<-21,2.47,0,0.471>
<-21,2.47,0,0.424>
<-21,2.46,0,0.336>
<-21,2.46,0,0.468>
<-21,2.45,0,0.347>
<-21,2.45,0,0.317>
<-21,2.45,0,0.233>
<-21,2.45,0,0.423>
<-21,2.44,0,0.321>
<-21,2.44,0,0.310>
<-21,2.44,0,0.154>
<-21,2.43,0,0.231>
<-21,2.43,0,0.144>
<-21,2.43,0,0.266>
<-21,2.43,0,0.220>
<-21,2.43,0,0.208>
<-21,2.43,0,0.052>
<-21,2.42,0,0.090>
<-21,2.42,0,0.176>
<-21,2.42,0,0.274>
<-21,2.42,0,0.222>
<-21,2.42,0,0.132>
<-21,2.41,0,0.219>
<-21,2.41,0,0.296>
<-21,2.41,0,0.304>
<-21,2.40,0,0.306>
<-21,2.40,0,0.153>
<-21,2.40,0,0.268>
<-21,2.40,0,0.297>
<-21,2.39,0,0.304>
<-21,2.39,0,0.229>
<-21,2.39,0,0.287>
<-21,2.39,0,0.302>
<-21,2.38,0,0.306>
<-21,2.38,0,0.230>
<-21,2.38,0,0.288>
<-21,2.37,0,0.302>
<-21,2.37,0,0.152>
<-21,2.37,0,0.229>
<-21,2.37,0,0.029>
<-21,2.37,0,0.084>
<-21,2.37,0,-0.132>
<-21,2.37,0,-0.033>
<-21,2.37,0,-0.017>
<-21,2.37,0,-0.040>
<-21,2.37,0,-0.087>
<-21,2.37,0,-0.022>
<-21,2.37,0,-0.005>
<-21,2.37,0,0.075>
<-21,2.37,0,0.096>
<-21,2.37,0,0.177>
<-21,2.37,0,0.198>
<-21,2.37,0,0.203>
<-21,2.37,0,0.051>
<-21,2.37,0,0.166>
<-21,2.37,0,0.042>
<-21,2.37,0,0.010>
<-21,2.37,0,0.003>
<-21,2.37,0,0.001>
<-21,2.37,0,0.000>
<-21,2.37,0,0.000>
<-21,2.37,0,-0.077>
<-21,2.37,0,-0.019>
<-21,2.37,0,-0.010>
<-21,2.37,0,-0.001>
<-21,2.37,0,-0.077>
<-21,2.37,0,-0.019>
<-21,2.37,0,-0.010>
<-21,2.37,0,-0.002>
<-21,2.37,0,-0.001>
<-21,2.37,0,-0.000>
<-21,2.37,0,-0.000>
<-21,2.37,0,-0.000>
<-21,2.37,0,-0.000>
<-21,2.37,0,0.077>
<-21,2.37,0,0.019>
<-21,2.37,0,0.081>
<-21,2.37,0,0.020>
<-21,2.37,0,0.005>
<-21,2.37,0,0.001>
<-21,2.37,0,0.000>
<-21,2.37,0,-0.153>
<-21,2.37,0,-0.019>
<-21,2.37,0,-0.005>
<-21,2.37,0,-0.155>
<-21,2.37,0,0.038>
<-21,2.37,0,0.010>
<-21,2.37,0,0.002>
<-21,2.37,0,0.001>
<-21,2.37,0,0.077>
<-21,2.37,0,0.019>
<-21,2.37,0,0.005>
<-21,2.37,0,-0.075>
<-21,2.37,0,-0.019>
<-21,2.37,0,-0.005>
<-21,2.37,0,0.152>
<-21,2.37,0,-0.039>
<-21,2.37,0,-0.010>
<-21,2.37,0,-0.002>
<-21,2.37,0,-0.001>
<-21,2.37,0,-0.000>
<-21,2.37,0,-0.000>
<-21,2.37,0,-0.153>
<-21,2.37,0,-0.268>
<-21,2.38,0,-0.604>
<-21,2.39,0,-0.841>
<-21,2.40,0,-1.054>
<-21,2.41,0,-1.337>
<-21,2.43,0,-1.485>
<-21,2.45,0,-1.905>
<-21,2.47,0,-2.164>
<-21,2.49,0,-2.305>
<-21,2.52,0,-2.570>
<-21,2.54,0,-2.713>
<-21,2.57,0,-2.903>
<-21,2.61,0,-3.103>
<-21,2.64,0,-3.307>
<-21,2.66,0,-3.494>
<-21,2.71,0,-3.505>
<-21,2.73,0,-3.747>
<-21,2.79,0,-3.958>
<-21,2.83,0,-4.134>
<-21,2.87,0,-4.178>
<-21,2.92,0,-4.266>
<-21,2.96,0,-4.288>
<-21,3.01,0,-4.447>
<-21,3.03,0,-4.371>
<-21,3.09,0,-4.458>
<-21,3.14,0,-4.336>
<-21,3.18,0,-4.459>
<-21,3.22,0,-4.336>
<-21,3.26,0,-4.152>
<-21,3.31,0,-4.183>
<-21,3.33,0,-4.086>
<-21,3.39,0,-4.039>
<-21,3.41,0,-3.860>
<-21,3.46,0,-3.742>
<-21,3.48,0,-3.712>
<-21,3.53,0,-3.417>
<-21,3.56,0,-3.232>
<-21,3.60,0,-3.109>
<-21,3.62,0,-2.848>
<-21,3.65,0,-2.630>
<-21,3.67,0,-2.498>
<-21,3.70,0,-2.235>
<-21,3.71,0,-1.939>
<-21,3.73,0,-1.712>
<-21,3.74,0,-1.623>
<-21,3.76,0,-1.315>
<-21,3.76,0,-1.118>
<-21,3.78,0,-0.868>
<-21,3.78,0,-0.447>
<-21,3.78,0,-0.188>
<-21,3.78,0,-0.047>
<-21,3.78,0,0.218>
<-21,3.77,0,0.515>
<-21,3.76,0,0.742>
<-21,3.75,0,0.876>
<-21,3.74,0,1.139>
<-21,3.73,0,1.359>
<-21,3.71,0,1.490>
<-21,3.69,0,1.753>
<-21,3.67,0,1.972>
<-21,3.66,0,2.060>
<-21,3.64,0,2.279>
<-21,3.60,0,2.509>
<-21,3.58,0,2.621>
<-21,3.56,0,2.691>
<-21,3.52,0,2.829>
<-21,3.51,0,2.949>
<-21,3.46,0,3.091>
<-21,3.43,0,3.227>
<-21,3.41,0,3.301>
<-21,3.36,0,3.404>
<-21,3.32,0,3.459>
<-21,3.29,0,3.549>
<-21,3.27,0,3.462>
<-21,3.22,0,3.501>
<-21,3.18,0,3.636>
<-21,3.16,0,3.506>
<-21,3.11,0,3.583>
<-21,3.07,0,3.580>
<-21,3.04,0,3.426>
<-21,3.01,0,3.311>
<-21,2.97,0,3.359>
<-21,2.96,0,3.213>
<-21,2.91,0,3.048>
<-21,2.88,0,3.063>
<-21,2.85,0,2.837>
<-21,2.83,0,2.627>
